transaction_id,transaction_time,transaction_amount,customer_id,merchant_id,transaction_type,location,device_type,is_international,previous_fraud_count,avg_transaction_amount,fraud
692683,47280,480.13500202815936,1535,2323,POS,Delhi,mobile,0,1,2879.338617343617,0
454508,51885,494.91,1021,2602,ATM,Bangalore,mobile,1,1,1234.4135682295166,0
609231,62752,2328.72,1492,2218,POS,Kolkata,mobile,0,1,261.29697832558844,0
160738,70091,2548.98,1246,2899,ATM,Kolkata,mobile,0,1,916.0046153121857,0
480612,23328,4392.554942651427,1899,2851,POS,Delhi,mobile,1,0,1665.1094158409833,0
624902,72694,1701.76,1780,2182,ATM,Bangalore,mobile,1,1,2080.4214868747313,0
771088,67214,3780.2,1704,2570,online,Bangalore,card_swipe,0,1,1554.4951441281605,0
808011,37841,1257.58,1882,2240,POS,Chennai,mobile,1,2,1980.591878297404,0
197251,52995,932.42,1389,2099,POS,Mumbai,desktop,1,1,2463.686175598862,0
770487,15795,4754.06,1114,2025,ATM,Mumbai,desktop,1,2,1711.914068964879,0
488162,84651,7664.721689441091,1363,2214,ATM,Kolkata,desktop,0,1,1212.8935644309158,0
479580,854,1400.45,1224,2141,ATM,Mumbai,desktop,0,0,734.6427922148353,0
830429,66387,5108.355693004987,1980,2748,ATM,Delhi,card_swipe,0,0,1828.096330710581,0
725380,80623,3993.74,1065,2394,POS,Kolkata,card_swipe,0,1,1718.3198445379514,0
398830,50343,2943.989852379046,1161,2448,ATM,Dubai,card_swipe,1,3,3880.4695039267585,1
329258,25658,2005.31,1238,2517,ATM,Bangalore,mobile,1,1,418.9461177987953,0
668532,27350,365.23,1062,2765,POS,Mumbai,mobile,0,1,2053.5997163141265,0
152578,57458,1416.46,1598,2488,ATM,Bangalore,card_swipe,1,0,941.2524559823137,0
581741,1016,4806.25,1549,2127,POS,Kolkata,mobile,0,1,2460.6199915742363,0
195325,50859,4390.940189682157,1773,2048,online,Bangalore,mobile,0,2,2008.5484248501539,0
761759,78069,1803.86,1060,2234,online,Bangalore,mobile,0,2,2507.1317976128776,0
663750,38102,2734.12,1218,2518,POS,Delhi,mobile,1,1,3224.3971654136058,0
429963,55016,1530.86,1217,2671,POS,Kolkata,desktop,0,2,1644.7679228085556,0
665579,82018,14245.812986851784,1976,2797,ATM,Mumbai,mobile,0,2,994.5218269302871,0
890170,29124,2376.13,1869,2242,online,Chennai,desktop,0,2,1481.4700225197823,0
148050,39504,3559.6,1677,2233,POS,Mumbai,mobile,1,1,1504.7081742877092,0
755674,4499,4436.56,1305,2861,ATM,Delhi,card_swipe,0,1,2164.9646952705752,0
852470,39298,13016.02647420869,1351,2208,ATM,Dubai,card_swipe,1,2,1777.0292459048135,1
325772,67121,5749.899404234467,1980,2781,POS,Mumbai,mobile,0,1,1695.9500893577647,0
922157,41975,3296.88,1803,2465,POS,Bangalore,desktop,1,2,163.74531437311225,0
733052,37065,10235.36210291441,1270,2826,online,Chennai,card_swipe,0,1,2782.948119081533,0
903035,39790,2467.66,1128,2131,ATM,Bangalore,desktop,1,2,2552.971297031963,0
515011,5486,425.59,1134,2687,ATM,Chennai,desktop,1,0,1661.8490762465217,0
358607,54384,333.81,1762,2574,ATM,Mumbai,desktop,1,2,786.6911368886767,0
795613,34578,39971.61,1106,2961,online,London,desktop,1,3,2655.2490771000816,1
688508,67435,2576.03,1203,2733,ATM,Kolkata,card_swipe,0,1,2312.449418238854,0
361941,45543,4673.72,1895,2945,online,Kolkata,desktop,1,1,1327.9544909874157,0
246991,74740,300.39,1432,2187,POS,Delhi,desktop,0,1,1266.5256416472866,0
813328,11411,9542.4698635057,1738,2117,ATM,Mumbai,card_swipe,0,0,1083.1695296311111,0
996865,26854,3258.87,1238,2887,online,Mumbai,desktop,0,0,2235.4296214810397,0
543692,18589,4770.1,1987,2216,ATM,Delhi,card_swipe,0,2,1318.0867762414643,0
590785,49811,1636.53,1541,2257,ATM,Bangalore,mobile,1,1,1669.6517169327908,0
