transaction_id,transaction_time,transaction_amount,customer_id,merchant_id,transaction_type,location,device_type,is_international,previous_fraud_count,avg_transaction_amount,fraud
692683,47280,276.89,1535,2323,POS,Delhi,mobile,0,0,2556.72,0
454508,51885,494.91,1021,2602,ATM,Bangalore,mobile,1,1,1140.08,0
609231,62752,2328.72,1492,2218,POS,Kolkata,mobile,0,0,239.37,0
160738,70091,2548.98,1246,2899,ATM,Kolkata,mobile,0,0,826.34,0
480612,23328,2474.53,1899,2851,POS,Delhi,mobile,1,0,2007.08,0
624902,72694,1701.76,1780,2182,ATM,Bangalore,mobile,1,0,2205.27,0
771088,67214,3780.2,1704,2570,online,Bangalore,card_swipe,0,1,1836.71,0
808011,37841,1257.58,1882,2240,POS,Chennai,mobile,1,1,1729.41,0
197251,52995,932.42,1389,2099,POS,Mumbai,desktop,1,1,2347.89,0
770487,15795,4754.06,1114,2025,ATM,Mumbai,desktop,1,1,1836.11,0
488162,84651,3191.41,1363,2214,ATM,Kolkata,desktop,1,0,1469.42,0
479580,854,1400.45,1224,2141,ATM,Mumbai,desktop,0,0,794.73,0
830429,66387,2881.62,1980,2748,ATM,Delhi,card_swipe,0,0,1965.54,0
725380,80623,3993.74,1065,2394,POS,Kolkata,card_swipe,0,1,1573.78,0
398830,50343,8274.34,1161,2448,ATM,Dubai,card_swipe,1,3,3678.09,1
329258,25658,2005.31,1238,2517,ATM,Bangalore,mobile,1,1,362.76,0
668532,27350,365.23,1062,2765,POS,Mumbai,mobile,0,1,2076.68,0
152578,57458,1416.46,1598,2488,ATM,Bangalore,card_swipe,0,0,1110.18,0
581741,1016,4806.25,1549,2127,POS,Kolkata,mobile,0,1,2267.23,0
195325,50859,2244.44,1773,2048,online,Bangalore,mobile,0,1,1818.82,0
761759,78069,1803.86,1060,2234,online,Bangalore,mobile,0,1,2447.15,0
663750,38102,2734.12,1218,2518,POS,Delhi,mobile,1,1,2909.09,0
429963,55016,1530.86,1217,2671,POS,Kolkata,desktop,0,1,1648.86,0
665579,82018,4868.58,1976,2797,ATM,Mumbai,mobile,0,1,985.56,0
890170,29124,2376.13,1869,2242,online,Chennai,desktop,0,1,1525.69,0
148050,39504,3559.6,1677,2233,POS,Mumbai,mobile,1,0,1857.28,0
755674,4499,4436.56,1305,2861,ATM,Delhi,card_swipe,0,1,2567.69,0
852470,39298,31251.59,1351,2208,ATM,Dubai,card_swipe,1,1,2186.92,1
325772,67121,3315.99,1980,2781,POS,Mumbai,mobile,0,1,1608.2,0
922157,41975,3296.88,1803,2465,POS,Bangalore,desktop,1,1,176.88,0
733052,37065,4475.19,1270,2826,online,Chennai,card_swipe,0,0,2773.44,0
903035,39790,2467.66,1128,2131,ATM,Bangalore,desktop,0,1,2195.11,0
515011,5486,425.59,1134,2687,ATM,Chennai,desktop,0,0,1847.08,0
358607,54384,333.81,1762,2574,ATM,Mumbai,desktop,0,1,815.94,0
795613,34578,39971.61,1106,2961,online,London,desktop,1,3,2409.0,1
